#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord
"TaskName","ActionName","TaskInstanceId","EnginePID","Id","Version","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","LevelDisplayName","OpcodeDisplayName","TaskDisplayName"
"\test","C:\Windows\System32\calc.exe","{14E7881C-C5BE-4DEF-B9CF-A5928AA84434}","7612","200","1","4","200","1","-9223372036854775808","2346","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7792","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:12:51 AM","14e7881c-c5be-4def-b9cf-a5928aa84434",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{208462E4-79A2-4616-9104-BFE76EE86572}","8036","200","1","4","200","1","-9223372036854775808","2341","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","8116","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:11:51 AM","208462e4-79a2-4616-9104-bfe76ee86572",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{DE3366F3-FC5E-46F7-993D-7C9F7B7D2014}","3224","200","1","4","200","1","-9223372036854775808","2336","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7180","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:10:51 AM","de3366f3-fc5e-46f7-993d-7c9f7b7d2014",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{6AC7050B-72A6-4F43-BBD5-95312BAB9893}","4944","200","1","4","200","1","-9223372036854775808","2331","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","6176","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:09:51 AM","6ac7050b-72a6-4f43-bbd5-95312bab9893",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{BF6C28F4-1BB7-485F-97CD-3731F3D1CF6E}","5588","200","1","4","200","1","-9223372036854775808","2326","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","5800","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:08:51 AM","bf6c28f4-1bb7-485f-97cd-3731f3d1cf6e",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{03EB0106-14A2-406A-BE2C-CFBCEF30E91F}","7212","200","1","4","200","1","-9223372036854775808","2310","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","5376","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:07:51 AM","03eb0106-14a2-406a-be2c-cfbcef30e91f",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{03DE8464-20D1-48A6-A6B2-F9DF88B74E44}","7608","200","1","4","200","1","-9223372036854775808","2305","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4724","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:06:51 AM","03de8464-20d1-48a6-a6b2-f9df88b74e44",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{E2CDFA2D-8299-4381-ADA7-74E18745FB2F}","776","200","1","4","200","1","-9223372036854775808","2300","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","3788","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:05:51 AM","e2cdfa2d-8299-4381-ada7-74e18745fb2f",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{93ACBF92-5F2C-429A-9A72-64AA51D2DFEC}","7112","200","1","4","200","1","-9223372036854775808","2295","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4636","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:04:51 AM","93acbf92-5f2c-429a-9a72-64aa51d2dfec",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{B2998DA4-5A00-4096-B446-45CE565BE3C2}","6572","200","1","4","200","1","-9223372036854775808","2290","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4992","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:03:51 AM","b2998da4-5a00-4096-b446-45ce565be3c2",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{10BA0E50-2785-4DE8-A88B-C6AA7856DDA5}","7208","200","1","4","200","1","-9223372036854775808","2280","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7576","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:02:51 AM","10ba0e50-2785-4de8-a88b-c6aa7856dda5",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{7199AC78-E689-4AA8-BE23-DEC39C53EE56}","5336","200","1","4","200","1","-9223372036854775808","2275","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7916","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:01:51 AM","7199ac78-e689-4aa8-be23-dec39c53ee56",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{96CD2425-C7DF-417B-9341-29D70E4E1C56}","7292","200","1","4","200","1","-9223372036854775808","2259","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4944","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:00:51 AM","96cd2425-c7df-417b-9341-29d70e4e1c56",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{7EFDB10E-9F26-413D-A4B8-70A6550ADCCE}","7932","200","1","4","200","1","-9223372036854775808","2254","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","8000","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:59:51 AM","7efdb10e-9f26-413d-a4b8-70a6550adcce",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{A71BD5BD-2E6F-4B53-B768-36C3108E8E3F}","7788","200","1","4","200","1","-9223372036854775808","2249","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","1840","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:58:51 AM","a71bd5bd-2e6f-4b53-b768-36c3108e8e3f",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{7B18846F-667D-48DA-929A-32BA59324BAC}","7248","200","1","4","200","1","-9223372036854775808","2244","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4992","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:57:51 AM","7b18846f-667d-48da-929a-32ba59324bac",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
"\test","C:\Windows\System32\calc.exe","{82B100E9-E187-4183-8F32-BE8A65087E1C}","7692","200","1","4","200","1","-9223372036854775808","2239","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","5684","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:56:51 AM","82b100e9-e187-4183-8f32-be8a65087e1c",,"microsoft-windows-taskscheduler/operational","Information","Start","Action started"
