#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord
"TaskName","TaskInstanceId","ActionName","ResultCode","EnginePID","Id","Version","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","LevelDisplayName","OpcodeDisplayName","TaskDisplayName"
"\test","{F276F947-DF64-475A-B240-EFDF0DD9C72D}","C:\Windows\System32\calc.exe","0","7328","201","2","4","201","2","-9223372036854775808","2410","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7772","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:24:38 AM","f276f947-df64-475a-b240-efdf0dd9c72d",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{ABF19851-4C12-4F72-98D8-CD9DC4654A61}","C:\Windows\System32\calc.exe","0","5768","201","2","4","201","2","-9223372036854775808","2408","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","6772","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:24:38 AM","abf19851-4c12-4f72-98d8-cd9dc4654a61",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{5EE6EAB9-1E9A-4BC6-9BBB-9D4E55FB93E1}","C:\Windows\System32\calc.exe","0","7024","201","2","4","201","2","-9223372036854775808","2406","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","6924","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:24:38 AM","5ee6eab9-1e9a-4bc6-9bbb-9d4e55fb93e1",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{FE5949C2-26E3-4B63-AE52-2DCCBE7BDFC0}","C:\Windows\System32\calc.exe","0","3712","201","2","4","201","2","-9223372036854775808","2404","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7512","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:24:38 AM","fe5949c2-26e3-4b63-ae52-2dccbe7bdfc0",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{3ED3AB32-64A3-4437-A75E-44A909A10ABF}","C:\Windows\System32\calc.exe","0","5968","201","2","4","201","2","-9223372036854775808","2387","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","5316","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:21:20 AM","3ed3ab32-64a3-4437-a75e-44a909a10abf",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{B2998DA4-5A00-4096-B446-45CE565BE3C2}","C:\Windows\System32\calc.exe","0","6572","201","2","4","201","2","-9223372036854775808","2319","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4992","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:08:27 AM","b2998da4-5a00-4096-b446-45ce565be3c2",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{93ACBF92-5F2C-429A-9A72-64AA51D2DFEC}","C:\Windows\System32\calc.exe","0","7112","201","2","4","201","2","-9223372036854775808","2317","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4636","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:08:27 AM","93acbf92-5f2c-429a-9a72-64aa51d2dfec",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{E2CDFA2D-8299-4381-ADA7-74E18745FB2F}","C:\Windows\System32\calc.exe","0","776","201","2","4","201","2","-9223372036854775808","2315","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","3788","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:08:27 AM","e2cdfa2d-8299-4381-ada7-74e18745fb2f",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{03DE8464-20D1-48A6-A6B2-F9DF88B74E44}","C:\Windows\System32\calc.exe","0","7608","201","2","4","201","2","-9223372036854775808","2313","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4724","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:08:27 AM","03de8464-20d1-48a6-a6b2-f9df88b74e44",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{03EB0106-14A2-406A-BE2C-CFBCEF30E91F}","C:\Windows\System32\calc.exe","0","7212","201","2","4","201","2","-9223372036854775808","2311","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","5376","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:08:26 AM","03eb0106-14a2-406a-be2c-cfbcef30e91f",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{10BA0E50-2785-4DE8-A88B-C6AA7856DDA5}","C:\Windows\System32\calc.exe","0","7208","201","2","4","201","2","-9223372036854775808","2283","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7576","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:03:19 AM","10ba0e50-2785-4de8-a88b-c6aa7856dda5",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{7199AC78-E689-4AA8-BE23-DEC39C53EE56}","C:\Windows\System32\calc.exe","0","5336","201","2","4","201","2","-9223372036854775808","2281","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7916","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:03:19 AM","7199ac78-e689-4aa8-be23-dec39c53ee56",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{82B100E9-E187-4183-8F32-BE8A65087E1C}","C:\Windows\System32\calc.exe","0","7692","201","2","4","201","2","-9223372036854775808","2268","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","5684","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:01:28 AM","82b100e9-e187-4183-8f32-be8a65087e1c",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{A71BD5BD-2E6F-4B53-B768-36C3108E8E3F}","C:\Windows\System32\calc.exe","0","7788","201","2","4","201","2","-9223372036854775808","2266","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","1840","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:01:28 AM","a71bd5bd-2e6f-4b53-b768-36c3108e8e3f",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{7EFDB10E-9F26-413D-A4B8-70A6550ADCCE}","C:\Windows\System32\calc.exe","0","7932","201","2","4","201","2","-9223372036854775808","2264","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","8000","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:01:28 AM","7efdb10e-9f26-413d-a4b8-70a6550adcce",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{7B18846F-667D-48DA-929A-32BA59324BAC}","C:\Windows\System32\calc.exe","0","7248","201","2","4","201","2","-9223372036854775808","2262","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4992","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:01:28 AM","7b18846f-667d-48da-929a-32ba59324bac",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{96CD2425-C7DF-417B-9341-29D70E4E1C56}","C:\Windows\System32\calc.exe","0","7292","201","2","4","201","2","-9223372036854775808","2260","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4944","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 10:01:27 AM","96cd2425-c7df-417b-9341-29d70e4e1c56",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{3DA8A986-0B47-4ACA-AB28-0C01A1F3525A}","C:\Windows\System32\calc.exe","0","1840","201","2","4","201","2","-9223372036854775808","2232","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7788","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:56:21 AM","3da8a986-0b47-4aca-ab28-0c01a1f3525a",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{DD300D69-26A6-4236-B308-928536B4407B}","C:\Windows\System32\calc.exe","0","7672","201","2","4","201","2","-9223372036854775808","2224","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7652","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:55:39 AM","dd300d69-26a6-4236-b308-928536b4407b",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{FBAA6451-08D3-4D9C-9A0F-7F688C8E55F1}","C:\Windows\System32\calc.exe","0","7968","201","2","4","201","2","-9223372036854775808","2216","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7916","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:44 AM","fbaa6451-08d3-4d9c-9a0f-7f688c8e55f1",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{F8FB107F-EA58-43BD-95A4-E1C4EA5FBD34}","C:\Windows\System32\calc.exe","0","7928","201","2","4","201","2","-9223372036854775808","2214","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7932","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:44 AM","f8fb107f-ea58-43bd-95a4-e1c4ea5fbd34",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{1F172CE7-A917-41BA-8E8B-2AD1F6FF4F6F}","C:\Windows\System32\calc.exe","0","7400","201","2","4","201","2","-9223372036854775808","2212","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","8000","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:44 AM","1f172ce7-a917-41ba-8e8b-2ad1f6ff4f6f",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{ED0A9EE4-4950-49D0-B540-C19F0CD93DEB}","C:\Windows\System32\calc.exe","0","5336","201","2","4","201","2","-9223372036854775808","2210","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","2576","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:44 AM","ed0a9ee4-4950-49d0-b540-c19f0cd93deb",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{92BB341F-210D-4A80-B60D-F5D1AB4BD3FC}","C:\Windows\System32\calc.exe","0","6152","201","2","4","201","2","-9223372036854775808","2208","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7732","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:44 AM","92bb341f-210d-4a80-b60d-f5d1ab4bd3fc",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{6C1FE3F4-F953-43CD-AD82-22E2C58F554A}","C:\Windows\System32\calc.exe","0","7676","201","2","4","201","2","-9223372036854775808","2206","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","2212","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:44 AM","6c1fe3f4-f953-43cd-ad82-22e2c58f554a",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{34BAC7A8-8B76-4E29-A89F-28FE4FAA1653}","C:\Windows\System32\calc.exe","0","7396","201","2","4","201","2","-9223372036854775808","2204","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7684","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:44 AM","34bac7a8-8b76-4e29-a89f-28fe4faa1653",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{F4A93DDA-0703-4D2F-85FE-7AB14486C183}","C:\Windows\System32\calc.exe","0","3128","201","2","4","201","2","-9223372036854775808","2202","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4508","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:44 AM","f4a93dda-0703-4d2f-85fe-7ab14486c183",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{06FE87CA-9691-44EE-B563-3953DFA5C5BF}","C:\Windows\System32\calc.exe","0","8144","201","2","4","201","2","-9223372036854775808","2200","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7212","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:44 AM","06fe87ca-9691-44ee-b563-3953dfa5c5bf",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{59727BC6-AD6A-414F-A321-4085B6E0F934}","C:\Windows\System32\calc.exe","0","7664","201","2","4","201","2","-9223372036854775808","2198","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","7908","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:43 AM","59727bc6-ad6a-414f-a321-4085b6e0f934",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{FCB0FE6A-F6AE-4AE4-AA1C-90A19732F27D}","C:\Windows\System32\calc.exe","0","4796","201","2","4","201","2","-9223372036854775808","2196","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","4412","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:43 AM","fcb0fe6a-f6ae-4ae4-aa1c-90a19732f27d",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
"\test","{DDCDCB5C-E495-4331-90B9-4C1C6AF3073A}","C:\Windows\System32\calc.exe","0","7940","201","2","4","201","2","-9223372036854775808","2194","Microsoft-Windows-TaskScheduler","de7b24ea-73c8-4a09-985d-5bdadcfa9017","Microsoft-Windows-TaskScheduler/Operational","6160","6460","lab-dc1.lab.local","S-1-5-21-1821399794-337311051-3185148185-500","12/24/2016 9:54:43 AM","ddcdcb5c-e495-4331-90b9-4c1c6af3073a",,"microsoft-windows-taskscheduler/operational","Information","Stop","Action completed"
